5, 1e-06, 2e-06, 1e-06, 6e-06, 1e-05, 5e-06
10, 1e-06, 1e-06, 1e-06, 1.2e-05, 1.3e-05, 1.2e-05
15, 0, 1e-06, 1e-06, 1.8e-05, 1.9e-05, 1.7e-05
20, 1e-06, 1e-06, 3e-06, 2.8e-05, 3.2e-05, 2.6e-05
25, 0, 2e-06, 3e-06, 3.3e-05, 3.5e-05, 3.4e-05
30, 1e-06, 4e-06, 5e-06, 3.8e-05, 4.1e-05, 3.7e-05
35, 1e-06, 4e-06, 6e-06, 4.7e-05, 5.3e-05, 4.7e-05
40, 1e-06, 6e-06, 9e-06, 7.1e-05, 9.5e-05, 5.7e-05
45, 2e-06, 7e-06, 1e-05, 6.3e-05, 8.1e-05, 6.8e-05
50, 3e-06, 1.4e-05, 1.7e-05, 0.000112, 0.000122, 0.000105
55, 2e-06, 1.1e-05, 1.5e-05, 0.000126, 0.00012, 0.000128
60, 2e-06, 1.2e-05, 1.8e-05, 0.000128, 0.000135, 0.000127
65, 2e-06, 1.2e-05, 2.2e-05, 8.5e-05, 0.000119, 8.5e-05
70, 0, 1e-05, 1.8e-05, 9.9e-05, 0.000103, 9.8e-05
75, 1e-06, 1.4e-05, 2.1e-05, 0.000107, 0.000115, 0.000107
80, 1e-06, 1.4e-05, 2.3e-05, 0.000117, 0.000126, 0.000116
85, 1e-06, 1.4e-05, 2.6e-05, 0.000122, 0.00013, 0.000124
90, 1e-06, 1.6e-05, 2.9e-05, 0.00013, 0.000134, 0.000128
95, 2e-06, 2.1e-05, 3.2e-05, 0.000137, 0.000144, 0.000143
100, 1e-06, 2.1e-05, 3.5e-05, 0.000142, 0.00015, 0.000141
